pangkat,masa_kerja,pokok
12,19,3861000
12,20,3982600
12,21,3982600
12,22,4108000
12,23,4108000
12,24,4237500
12,25,4237500
12,26,4370900
12,27,4370900
12,28,4508600
12,29,4508600
12,30,4650600
12,31,4650600
12,32,4797000
13,0,3044300
13,1,3044300
13,2,3140200
13,3,3140200
13,4,3239100
13,5,3239100
13,6,3341100
13,7,3341100
13,8,3446400
13,9,3446400
13,10,3554900
13,11,3554900
13,12,3666900
13,13,3666900
13,14,3782400
13,15,3782400
13,16,3901500
13,17,3901500
13,18,4024400
13,19,4024400
13,20,4151100
13,21,4151100
13,22,4281800
13,23,4281800
13,24,4416700
13,25,4416700
13,26,4555800
13,27,4555800
13,28,4699300
13,29,4699300
13,30,4847300
13,31,4847300
13,32,5000000
14,0,3173100
14,1,3173100
14,2,3273100
14,3,3273100
14,4,3376100
14,5,3376100
14,6,3482500
14,7,3482500
14,8,3592100
14,9,3592100
14,10,3705300
14,11,3705300
14,12,3822000
14,13,3822000
14,14,3942400
14,15,3942400
14,16,4066500
14,17,4066500
14,18,4194600
14,19,4194600
14,20,4326700
14,21,4326700
14,22,4463000
14,23,4463000
14,24,4603500
14,25,4603500
14,26,4748500
14,27,4748500
14,28,4898100
14,29,4898100
14,30,5052300
14,31,5052300
14,32,5211500
15,0,3307300
15,1,3307300
15,2,3411500
15,3,3411500
15,4,3518900
15,5,3518900
15,6,3629800
15,7,3629800
15,8,3744100
15,9,3744100
15,10,3862000
15,11,3862000
15,12,3983600
15,13,3983600
15,14,4109100
15,15,4109100
15,16,4238500
15,17,4238500
15,18,4372000
15,19,4372000
15,20,4509700
15,21,4509700
15,22,4651800
15,23,4651800
15,24,4798300
15,25,4798300
15,26,4949400
15,27,4949400
15,28,5105300
15,29,5105300
15,30,5266100
15,31,5266100
15,32,5431900
16,0,3447200
16,1,3447200
16,2,3555800
16,3,3555800
16,4,3667800
16,5,3667800
16,6,3783300
16,7,3783300
16,8,3902500
16,9,3902500
16,10,4025400
16,11,4025400
16,12,4152200
16,13,4152200
16,14,4282900
16,15,4282900
16,16,4417800
16,17,4417800
16,18,4557000
16,19,4557000
16,20,4700500
16,21,4700500
16,22,4848500
16,23,4848500
16,24,5001200
16,25,5001200
16,26,5158700
16,27,5158700
16,28,5321200
16,29,5321200
16,30,5488800
16,31,5488800
16,32,5661700
17,0,3593100
17,1,3593100
17,2,3706200
17,3,3706200
17,4,3822900
17,5,3822900
17,6,3943300
17,7,3943300
17,8,4067500
17,9,4067500
17,10,4195700
17,11,4195700
17,12,4327800
17,13,4327800
17,14,4646100
17,15,4646100
17,16,4604700
17,17,4604700
17,18,4749700
17,19,4749700
17,20,4899300
17,21,4899300
17,22,5053600
17,23,5053600
17,24,5212800
17,25,5212800
17,26,5377000
17,27,5377000
17,28,5546300
17,29,5546300
17,30,5721000
17,31,5721000
17,32,5901200
